,id,stationName,x,y,geometry
0,SN47230,Åkra ,5.1963,59.2555,POINT (5.1963 59.2555)
1,SN20952,Statfjord C,1.9025,61.2847,POINT (1.9025 61.2847)
2,SN23670,E16 Ryfoss,8.8175,61.1375,POINT (8.8175 61.1375)
3,SN59450,Stadlandet,5.2115,62.1467,POINT (5.2115 62.1467)
4,SN55000,Luster − Ornes,7.313199,61.299413,POINT (7.313199 61.299413)
5,SN12590,E6 Mjøsbrua,10.67016,60.92824,POINT (10.67016 60.92824)
6,SN65470,Fugløya,9.1098,63.4759,POINT (9.1098 63.4759)
7,SN26640,E134 Darbu,9.7773,59.7025,POINT (9.7773 59.7025)
8,SN67650,Fv30 Reitstøa,10.87183,62.96367,POINT (10.87183 62.96367)
9,SN18269,Haugenstua,10.9035,59.9535,POINT (10.9035 59.9535)
10,SN68090,Granåsen,10.3123892,63.3757259,POINT (10.3123892 63.3757259)
11,SN57790,Myklebustfjellet,5.2007,61.6788,POINT (5.2007 61.6788)
12,SN27860,Kvelde,9.983,59.2203,POINT (9.983 59.2203)
14,SN233100,Hunge,15.0877777777778,62.7513888888889,POINT (15.0877777777778 62.7513888888889)
15,SN61065,Tresfjordbrua,7.1135,62.6112,POINT (7.1135 62.6112)
16,SN1039300,,14.120075,52.209482,POINT (14.120075 52.209482)
17,SN743400,,1.175,45.8611111111111,POINT (1.175 45.8611111111111)
18,SN27600,Sandefjord,10.2147,59.132,POINT (10.2147 59.132)
19,SN18700,Oslo (Blindern),10.72,59.9423,POINT (10.72 59.9423)
20,SN87110,Andøya LH,16.1312,69.3073,POINT (16.1312 69.3073)
21,SN27295,Fv307 Gravdal,10.1975,59.30367,POINT (10.1975 59.30367)
22,SN40905,Rv9 Bjåen,7.45533,59.64067,POINT (7.45533 59.64067)
23,SN40250,Valle,7.5273388,59.1971158,POINT (7.5273388 59.1971158)
24,SN224720,Forse,17.0262,63.1466,POINT (17.0262 63.1466)
25,SN43220,Fv44 Sælebø,6.19367,58.37983,POINT (6.19367 58.37983)
26,SN19660,E16 Skui,10.3855,59.9475,POINT (10.3855 59.9475)
27,SN18260,Høybråten,10.9257,59.9468,POINT (10.9257 59.9468)
28,SN49240,Rv13 Låtefoss,6.58317,59.94867,POINT (6.58317 59.94867)
29,SN77295,Svenningdal,13.396,65.4347,POINT (13.396 65.4347)
30,SN1240000,,15.5244444444444,51.9302777777778,POINT (15.5244444444444 51.9302777777778)
31,SN623500,,4.78111111111111,52.9269444444444,POINT (4.78111111111111 52.9269444444444)
32,SN5350,Nord-Odal,11.5590577,60.3882026,POINT (11.5590577 60.3882026)
33,SN52990,Ortnevik,6.134,61.1095,POINT (6.134 61.1095)
34,SN76963,Kristin,6.5513,64.994,POINT (6.5513 64.994)
35,SN92170,Oksfjord ,21.437,69.888,POINT (21.437 69.888)
36,SN80740,Reipå,13.646,66.9035,POINT (13.646 66.9035)
37,SN90295,Sessøya,18.25,69.75,POINT (18.25 69.75)
38,SN226900,Skagsudde,19.0205555555556,63.1886111111111,POINT (19.0205555555556 63.1886111111111)
40,SN20961,Alvheim,1.9917,59.5722,POINT (1.9917 59.5722)
41,SN490381002,300 kV Sauda – Blåfalli-2,6.40633,59.66898,POINT (6.40633 59.66898)
42,SN27564,Mosserød,10.2025,59.1505,POINT (10.2025 59.1505)
43,SN241300,Brattmon,12.772131147541,60.7569444444444,POINT (12.772131147541 60.7569444444444)
44,SN1070,HVALER,11.0321464,59.0418843,POINT (11.0321464 59.0418843)
45,SN1298200,Szeged külterület,20.0905556,46.2561111,POINT (20.0905556 46.2561111)
46,SN350200,,-4.57111111111111,52.1394444444444,POINT (-4.57111111111111 52.1394444444444)
47,SN71230,Fv755 Meltingen,10.73033,63.7905,POINT (10.73033 63.7905)
48,SN26990,Galleberg,10.2150378,59.6193334,POINT (10.2150378 59.6193334)
49,SN255700,Horn,15.8655555555556,57.8863888888889,POINT (15.8655555555556 57.8863888888889)
50,SN8840,Barkald,10.886351,61.992005,POINT (10.886351 61.992005)
51,SN490387067,300 kV Blåfalli – Mauranger-67,6.04221,60.06502,POINT (6.04221 60.06502)
52,SN810,Tufsingdal,11.732,62.2776,POINT (11.732 62.2776)
53,SN55520,Fv55 Indre Hafslo,7.26233,61.345,POINT (7.26233 61.345)
54,SN76918,EKOK_B,3.20424,56.56816,POINT (3.20424 56.56816)
55,SN60670,Fv650 Liabygda,7.06633,62.3285,POINT (7.06633 62.3285)
56,SN63595,Rv70 Gråura,9.21367,62.58183,POINT (9.21367 62.58183)
57,SN94198,E6 Levddon,23.891902,70.176402,POINT (23.891902 70.176402)
58,SN90250,E6 Heia,19.05033,69.14483,POINT (19.05033 69.14483)
59,SN76954,Gjøafeltet,3.897,61.3322,POINT (3.897 61.3322)
60,SN242610,Fredriksberg,14.2145,60.1418,POINT (14.2145 60.1418)
61,SN76927,Oseberg A,2.8257,60.4913,POINT (2.8257 60.4913)
62,SN34580,Drangedal,9.0687,59.0767,POINT (9.0687 59.0767)
63,SN76245,Fv17 Våg,12.14567,65.27017,POINT (12.14567 65.27017)
64,SN26864,Drammen sykehus ,10.195,59.7497,POINT (10.195 59.7497)
65,SN55260,Fv55 Hervavatn,7.87017,61.54817,POINT (7.87017 61.54817)
66,SN83970,E6 Kjerringstraumen bru,16.502687,68.296746,POINT (16.502687 68.296746)
